class,path,distance,scip_nodes,ml_nodes,degradation,scip_lps,ml_lps,scip_time,ml_time,scip_walltime,ml_walltime,scip_status,ml_status,scip_gap,ml_gap
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_083.lp,0.00251,788,854,1.083756345177665,1138,1241,11.54,23.7,12.491080416017212,21.528174750012113,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_084.lp,0.0029100000000000003,11,49,4.454545454545454,114,231,3.63,3.37,4.068730958009837,3.569451957999263,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_085.lp,0.00251,131,180,1.3740458015267176,348,408,8.27,7.86,9.081947291007964,7.010537541995291,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_086.lp,0.0023699999999999997,9,51,5.666666666666667,90,171,2.64,2.3,2.9017030840041116,2.099034874991048,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_087.lp,0.0029100000000000003,720,623,0.8652777777777778,1045,1018,10.64,17.23,11.593461332988227,15.489785874990048,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_088.lp,0.0023699999999999997,53,109,2.056603773584906,216,302,5.3,4.96,5.79178125000908,4.533904249983607,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_089.lp,0.0023699999999999997,153,344,2.2483660130718954,397,644,8.65,10.77,9.428266542003257,9.698540792014683,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_090.lp,0.0029100000000000003,179,241,1.3463687150837989,388,473,6.91,8.15,7.437303959013661,8.269444417004706,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_091.lp,0.0035499999999999998,49,143,2.9183673469387754,232,330,6.74,5.84,7.417611832992407,5.241119582991814,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_092.lp,0.0029100000000000003,673,661,0.9821693907875185,1030,1122,11.19,18.04,12.32880758299143,16.927229875000194,optimal,optimal,0.0,0.0
